Accuracy: 0.3433333333333333
Accuracy: 0.37373737373737376

Starting epoch 0
tensor(1.0545, grad_fn=<NllLossBackward>)
tensor(0.9682, grad_fn=<NllLossBackward>)
tensor(1.2547, grad_fn=<NllLossBackward>)
tensor(0.8487, grad_fn=<NllLossBackward>)
tensor(1.3785, grad_fn=<NllLossBackward>)
tensor(1.3840, grad_fn=<NllLossBackward>)
tensor(1.2591, grad_fn=<NllLossBackward>)
tensor(1.2402, grad_fn=<NllLossBackward>)
tensor(1.2280, grad_fn=<NllLossBackward>)
tensor(0.8597, grad_fn=<NllLossBackward>)
tensor(1.3117, grad_fn=<NllLossBackward>)
tensor(1.1353, grad_fn=<NllLossBackward>)
tensor(1.1178, grad_fn=<NllLossBackward>)
tensor(1.0885, grad_fn=<NllLossBackward>)
tensor(1.0665, grad_fn=<NllLossBackward>)
tensor(1.0377, grad_fn=<NllLossBackward>)
tensor(1.3286, grad_fn=<NllLossBackward>)
tensor(1.0369, grad_fn=<NllLossBackward>)
tensor(1.3240, grad_fn=<NllLossBackward>)
tensor(0.9229, grad_fn=<NllLossBackward>)
tensor(1.1155, grad_fn=<NllLossBackward>)
tensor(1.1012, grad_fn=<NllLossBackward>)
tensor(1.0905, grad_fn=<NllLossBackward>)
tensor(1.3144, grad_fn=<NllLossBackward>)
tensor(1.3283, grad_fn=<NllLossBackward>)
tensor(0.9361, grad_fn=<NllLossBackward>)
tensor(1.2818, grad_fn=<NllLossBackward>)
tensor(1.0924, grad_fn=<NllLossBackward>)
tensor(1.1063, grad_fn=<NllLossBackward>)
tensor(1.0891, grad_fn=<NllLossBackward>)
tensor(1.0002, grad_fn=<NllLossBackward>)
tensor(0.9932, grad_fn=<NllLossBackward>)
tensor(0.9958, grad_fn=<NllLossBackward>)
tensor(1.2265, grad_fn=<NllLossBackward>)
tensor(0.9903, grad_fn=<NllLossBackward>)
tensor(0.9841, grad_fn=<NllLossBackward>)
tensor(1.0793, grad_fn=<NllLossBackward>)
tensor(0.9789, grad_fn=<NllLossBackward>)
tensor(0.9432, grad_fn=<NllLossBackward>)
tensor(0.9380, grad_fn=<NllLossBackward>)
tensor(1.3275, grad_fn=<NllLossBackward>)
tensor(1.3099, grad_fn=<NllLossBackward>)
tensor(0.8998, grad_fn=<NllLossBackward>)
tensor(1.1323, grad_fn=<NllLossBackward>)
tensor(0.8944, grad_fn=<NllLossBackward>)
tensor(1.3304, grad_fn=<NllLossBackward>)
tensor(1.1549, grad_fn=<NllLossBackward>)
tensor(0.8612, grad_fn=<NllLossBackward>)
